Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
C12, 302010001, 1
"C2, C4", 302010143, 2
C15, 302010000, 1
C10, 302010006, 1
"C9,C11,C13,C19,C22,C24", 302010037, 6
"C1,C7,C14", 302010139, 3
"C3,C5,C6,C8,C17,C20,C21,C23", 302010103, 8
"C16,C18", 302020015, 2
"GPS_ANT,GSM_ANT", 320110048, 2
L1, 304090046, 1
L2, 304090057, 1
L3, 304090061, 1
"R2,R6,R7", 301010291, 3
R8, 301010293, 1
"R4, R5", 301010010, 2
R1, 301010089, 1
"R3, R9", 301010456, 2
SW1, 311020047, 1
X1, 320110026, 1
X2, 306010055, 1
X3, 320010000, 1
D1, 304020034, 1
D2, MMSZ5231BT1G, 1
D3, SMF05CT2G, 1
U1, ATSAMD21G18A-M, 1
U2, SPX3819M5-L-3-0, 1
U3, MCP73831T-2ACI/OT, 1
U4, MPU-9250, 1
U5, SIM868, 1
X4, 104239-1430, 1
U6, BMP280, 1
